(na),(na),,Sets,,,,,,,Maps,,,,,,,,Orders,,,,,Shims,,Generics,,,
Order,Method,Interface,Set,SortedSet,LruSet,LfuSet,SortedArraySet,FastSet,ArraySet,Map,MultiMap,SortedMap,LruMap,SortedArrayMap,FastMap,Dict,WeakMap,List,Deque,Heap,SortedArray,Iterator,Array,Object (not prototype),GenericCollection,GenericSet,GenericMap,GenericOrder
0a1,has(value),collection,Set,SortedSet,LruSet,LfuSet,SortedArray,FastSet,(todo),(alt),(alt),(alt),(alt),(alt),(alt),(alt),(alt),(alt),(todo),(alt),SortedArray,(alt),(alt),(alt),,,,
0a2,"has(value, equals=)",order,(alt),(alt),(alt),(alt),(alt),(alt),(alt),(alt),(alt),(alt),(alt),(alt),(alt),(alt),(alt),List,(todo),(maybe todo),(alt),(maybe todo),Array,(alt),,,,
0a3,has(key),map,(alt),(alt),(alt),(alt),(alt),(alt),(alt),GenericMap,GenericMap,GenericMap,GenericMap,GenericMap,GenericMap,Dict,WeakMap,(alt),(na),(alt),(alt),(alt),(alt),Object,,,GenericMap,
0b1a,get(value),collection,Set,SortedSet,LruSet,LfuSet,SortedArray,FastSet,(todo),(alt),(alt),(alt),(alt),(alt),(alt),(alt),(alt),(alt),(alt),(alt),SortedArray,(maybe todo),(alt),(alt),,,,
0b1b,"get(value, equals=)",order,(alt),(alt),(alt),(alt),(alt),(alt),(alt),(alt),(alt),(alt),(alt),(alt),(alt),(alt),(alt),List,(alt),(alt),(alt),(alt),(alt),(alt),,,,
0b2a,get(key),(na),(na),(na),(na),(na),(na),(na),(alt),(na),(na),(na),(na),(na),(na),(na),WeakMap,(na),Deque,(na),(na),(alt),(na),(na),(na),(na),(na),(na)
0b2b,"get(key or index, defaultValue)",map,(alt),(alt),(alt),(alt),(alt),(alt),(alt),GenericMap,GenericMap,GenericMap,GenericMap,GenericMap,GenericMap,Dict,(todo maybe),(alt),(na),(alt),(alt),(alt),Array,Object,,,GenericMap,
0c1,"set(key or index, value)","map, array",(na),(na),(na),(na),(na),(na),(na),GenericMap,MultiMap,GenericMap,GenericMap,GenericMap,GenericMap,Dict,WeakMap,(na),(na),(na),(na),(na),Array,Object,,,GenericMap,
0d1a1,add(value),collection,Set,SortedSet,LruSet,LfuSet,SortedArraySet,FastSet,(todo),(alt),(alt),(alt),(alt),(alt),(alt),(alt),(alt),List,Queue,Heap,SortedArray,(na),(alt),(alt),,,,
